requirement_id,test_id,phase23_component,phase24_module,status
P24-REQ-349,P24-TST-349,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-350,P24-TST-350,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-351,P24-TST-351,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-352,P24-TST-352,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-353,P24-TST-353,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-354,P24-TST-354,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-355,P24-TST-355,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-356,P24-TST-356,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-357,P24-TST-357,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-358,P24-TST-358,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-359,P24-TST-359,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-360,P24-TST-360,P23-COMP-012,P24-MOD-018,Mapped
