requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P15-REQ-139,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-140,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-141,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-142,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-143,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-144,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-145,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-146,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-147,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-148,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-149,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-150,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-151,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-152,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-153,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-154,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-155,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-156,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-157,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-158,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-159,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-160,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-161,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-162,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-163,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-164,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-165,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-166,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-167,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-168,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-169,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-170,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-171,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-172,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-173,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-174,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-175,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-176,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-177,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-178,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-179,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-180,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-181,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-182,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-183,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-184,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-185,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-186,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-187,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-188,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-189,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-190,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-191,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-192,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-193,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-194,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-195,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-196,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-197,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-198,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-199,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-200,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-201,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-202,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-203,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-204,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-205,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-206,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-207,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-208,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-209,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-210,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-211,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-212,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-213,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-214,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-215,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-216,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-217,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-218,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-219,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-220,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-221,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-222,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-223,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-224,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-225,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-226,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-227,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-228,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-229,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-230,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-231,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-232,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-233,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-234,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-235,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-236,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-237,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-238,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-239,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-240,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-241,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-242,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-243,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-244,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-245,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-246,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-247,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-248,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-249,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-250,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-251,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-252,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-253,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-254,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-255,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-256,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-257,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-258,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-259,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-260,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-261,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-262,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-263,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-264,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-265,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-266,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-267,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-268,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-269,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-270,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-271,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-272,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-273,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-274,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-275,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-276,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
