requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P12-REQ-119,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-120,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-121,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-122,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-123,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-124,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-125,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-126,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-127,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-128,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-129,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-130,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-131,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-132,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-133,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-134,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-135,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-136,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-137,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-138,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-139,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-140,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-141,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-142,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-143,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-144,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-145,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-146,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-147,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-148,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-149,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-150,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-151,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-152,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-153,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-154,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-155,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-156,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-157,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-158,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-159,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-160,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-161,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-162,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-163,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-164,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-165,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-166,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-167,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-168,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-169,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-170,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-171,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-172,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-173,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-174,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-175,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-176,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-177,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-178,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-179,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-180,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-181,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-182,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-183,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-184,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-185,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-186,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-187,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-188,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-189,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-190,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-191,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-192,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-193,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-194,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-195,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-196,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-197,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-198,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-199,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-200,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-201,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-202,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-203,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-204,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-205,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-206,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-207,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-208,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-209,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-210,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-211,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-212,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-213,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-214,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-215,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-216,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-217,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-218,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-219,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-220,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-221,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-222,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-223,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-224,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-225,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-226,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-227,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-228,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-229,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-230,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-231,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-232,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-233,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-234,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-235,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
