requirement_id,module,aspect,verification,module_exists,gap,unmet_conditions,evidence
GES-P05-REQ-061,Regional Pricing,canonical model,verified,yes,,,"aspect: regional_factors is a three-tier library with per-bucket factors. db_acceptance. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers regional_factors. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers regional_factors. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: the regional factor appears inside the calculatePrice derivation."
GES-P05-REQ-062,Regional Pricing,configurable rules,verified,yes,,,"aspect: The profile carries region and regionalFactor, applied inside the markup basis. engine_suites pricing.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers regional_factors. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers regional_factors. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: the regional factor appears inside the calculatePrice derivation."
GES-P05-REQ-063,Regional Pricing,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers regional_factors. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers regional_factors. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: the regional factor appears inside the calculatePrice derivation."
GES-P05-REQ-064,Regional Pricing,permissions,verified,yes,,,"aspect: db_acceptance role controls for regional_factors. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers regional_factors. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers regional_factors. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: the regional factor appears inside the calculatePrice derivation."
GES-P05-REQ-065,Regional Pricing,import/export,not_verified,yes,No tested import of a regional factor set.,,
GES-P05-REQ-066,Regional Pricing,validation and testing,verified,yes,,,"aspect: engine_suites pricing.test.ts covers the regional factor inside the markup basis. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers regional_factors. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers regional_factors. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: the regional factor appears inside the calculatePrice derivation."
GES-P05-REQ-067,Risk & Confidence,canonical model,verified,yes,,,"aspect: ConfidenceResult with score, band, verification status, contingency and every factor that moved the score. engine_suites confidence.test.ts. || tenant-specific configuration: Measurement method, verification checks, data source and source count are inputs. engine_suites confidence.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: scoreConfidence explanation carries the arithmetic at every score, and every factor that moved it is exposed."
GES-P05-REQ-068,Risk & Confidence,configurable rules,verified,yes,,,"aspect: Measurement method, verification checks, data source and source count are all inputs; the band thresholds are declared constants. || tenant-specific configuration: Measurement method, verification checks, data source and source count are inputs. engine_suites confidence.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: scoreConfidence explanation carries the arithmetic at every score, and every factor that moved it is exposed."
GES-P05-REQ-069,Risk & Confidence,auditability,verified,yes,,,"aspect: db_acceptance auditability, via estimate_versions carrying weighted_confidence and confidence_band. || tenant-specific configuration: Measurement method, verification checks, data source and source count are inputs. engine_suites confidence.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: scoreConfidence explanation carries the arithmetic at every score, and every factor that moved it is exposed."
GES-P05-REQ-070,Risk & Confidence,permissions,verified,yes,,,"aspect: db_acceptance role controls. || tenant-specific configuration: Measurement method, verification checks, data source and source count are inputs. engine_suites confidence.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: scoreConfidence explanation carries the arithmetic at every score, and every factor that moved it is exposed."
GES-P05-REQ-071,Risk & Confidence,import/export,not_verified,yes,No tested export of a confidence report.,,
GES-P05-REQ-072,Risk & Confidence,validation and testing,verified,yes,,,"aspect: engine_suites confidence.test.ts. || tenant-specific configuration: Measurement method, verification checks, data source and source count are inputs. engine_suites confidence.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: scoreConfidence explanation carries the arithmetic at every score, and every factor that moved it is exposed."
GES-P05-REQ-073,AI Estimating Advisor,canonical model,not_verified,no,"The plan analyst proposes findings about documents. There is no estimating advisor: nothing recommends a service, a crew, a production rate or a price.",tenant-specific configuration; version history; traceable output,
GES-P05-REQ-074,AI Estimating Advisor,configurable rules,not_verified,no,No advisor to configure.,tenant-specific configuration; version history; traceable output,
GES-P05-REQ-075,AI Estimating Advisor,auditability,not_verified,no,"The aspect exists, but the module does not satisfy: tenant-specific configuration, version history, traceable output.",tenant-specific configuration; version history; traceable output,
GES-P05-REQ-076,AI Estimating Advisor,permissions,not_verified,no,"The aspect exists, but the module does not satisfy: tenant-specific configuration, version history, traceable output.",tenant-specific configuration; version history; traceable output,
GES-P05-REQ-077,AI Estimating Advisor,import/export,not_verified,no,No advisor import or export.,tenant-specific configuration; version history; traceable output,
GES-P05-REQ-078,AI Estimating Advisor,validation and testing,not_verified,no,No estimating advisor to validate.,tenant-specific configuration; version history; traceable output,
GES-P05-REQ-079,Configuration Studio,canonical model,not_verified,no,"There is no no-code studio. Company settings are fixed columns and screens, not a builder.",tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-080,Configuration Studio,configurable rules,not_verified,no,Configuration exists but is not user-authorable.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-081,Configuration Studio,auditability,not_verified,no,No studio artefacts to audit.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-082,Configuration Studio,permissions,not_verified,no,No studio to gate.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-083,Configuration Studio,import/export,not_verified,no,No configuration package import or export.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-084,Configuration Studio,validation and testing,not_verified,no,Nothing to validate.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-085,White Label & OEM,canonical model,not_verified,no,"Branding columns exist on companies, but there is no reseller, partner or OEM entity.",role controls; version history,
GES-P05-REQ-086,White Label & OEM,configurable rules,not_verified,no,"The aspect exists, but the module does not satisfy: role controls, version history.",role controls; version history,
GES-P05-REQ-087,White Label & OEM,auditability,not_verified,no,No branding change history is recorded distinctly.,role controls; version history,
GES-P05-REQ-088,White Label & OEM,permissions,not_verified,no,No OEM tenancy to gate.,role controls; version history,
GES-P05-REQ-089,White Label & OEM,import/export,not_verified,no,No brand package import or export.,role controls; version history,
GES-P05-REQ-090,White Label & OEM,validation and testing,not_verified,no,Theming is tested; OEM is not built.,role controls; version history,
GES-P05-REQ-091,Field & Mobile,canonical model,not_verified,no,There is no mobile client and no offline store.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-092,Field & Mobile,configurable rules,not_verified,no,Nothing mobile to configure.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-093,Field & Mobile,auditability,not_verified,no,No field estimating records exist.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-094,Field & Mobile,permissions,not_verified,no,Nothing mobile to gate.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-095,Field & Mobile,import/export,not_verified,no,No offline sync path.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-096,Field & Mobile,validation and testing,not_verified,no,Nothing to validate.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-097,Integration,canonical model,not_verified,yes,"The aspect exists, but the module does not satisfy: version history, traceable output.",version history; traceable output,
GES-P05-REQ-098,Integration,configurable rules,not_verified,yes,"The aspect exists, but the module does not satisfy: version history, traceable output.",version history; traceable output,
GES-P05-REQ-099,Integration,auditability,not_verified,yes,"The aspect exists, but the module does not satisfy: version history, traceable output.",version history; traceable output,
GES-P05-REQ-100,Integration,permissions,not_verified,yes,"The aspect exists, but the module does not satisfy: version history, traceable output.",version history; traceable output,
GES-P05-REQ-101,Integration,import/export,not_verified,yes,"The gateway exposes an estimate read, but no test asserts an estimate export, and there is no estimate import.",version history; traceable output,
GES-P05-REQ-102,Integration,validation and testing,not_verified,yes,"The aspect exists, but the module does not satisfy: version history, traceable output.",version history; traceable output,
GES-P05-REQ-103,Reporting,canonical model,not_verified,yes,"The aspect exists, but the module does not satisfy: version history.",version history,
GES-P05-REQ-104,Reporting,configurable rules,not_verified,yes,"The aspect exists, but the module does not satisfy: version history.",version history,
GES-P05-REQ-105,Reporting,auditability,not_verified,yes,"The aspect exists, but the module does not satisfy: version history.",version history,
GES-P05-REQ-106,Reporting,permissions,not_verified,yes,"The aspect exists, but the module does not satisfy: version history.",version history,
GES-P05-REQ-107,Reporting,import/export,not_verified,yes,"Reports render to PDF, which is an export, but no test asserts an estimate report export specifically, and there is no report definition import.",version history,
GES-P05-REQ-108,Reporting,validation and testing,not_verified,yes,"The aspect exists, but the module does not satisfy: version history.",version history,
