requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P14-REQ-114,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-115,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-116,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-117,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-118,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-119,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-120,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-121,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-122,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-123,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-124,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-125,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-126,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-127,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-128,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-129,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-130,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-131,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-132,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-133,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-134,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-135,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-136,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-137,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-138,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-139,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-140,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-141,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-142,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-143,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-144,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-145,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-146,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-147,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-148,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-149,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-150,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-151,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-152,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-153,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-154,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-155,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-156,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-157,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-158,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-159,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-160,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-161,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-162,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-163,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-164,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-165,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-166,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-167,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-168,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-169,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-170,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-171,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-172,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-173,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-174,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-175,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-176,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-177,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-178,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-179,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-180,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-181,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-182,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-183,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-184,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-185,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-186,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-187,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-188,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-189,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-190,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-191,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-192,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-193,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-194,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-195,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-196,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-197,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-198,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-199,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-200,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-201,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-202,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-203,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-204,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-205,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-206,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-207,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-208,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-209,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-210,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-211,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-212,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-213,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-214,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-215,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-216,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-217,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-218,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-219,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-220,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-221,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-222,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-223,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-224,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-225,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-226,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
