requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P26-REQ-167,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-168,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-169,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-170,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-171,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-172,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-173,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-174,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-175,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-176,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-177,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-178,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-179,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-180,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-181,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-182,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-183,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-184,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-185,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-186,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-187,Regional Pricing,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-188,Vendor Quote Override,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-189,Snapshot Reproducibility,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-190,Service Catalog Writeback,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,An estimator-created service cannot be approved back into the catalog.
P26-REQ-191,AI Estimate Assist,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,The one AI agent analyses documents. Nothing assists with an estimate.
P26-REQ-192,Estimate Review & Approval,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-193,Estimate Export,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-194,Proposal Handoff,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-195,Job Cost Baseline,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-196,Audit & Traceability,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-197,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-198,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-199,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-200,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-201,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-202,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-203,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-204,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-205,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-206,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-207,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-208,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-209,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-210,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-211,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-212,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
P26-REQ-213,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-214,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-215,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-216,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-217,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-218,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-219,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-220,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-221,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-222,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-223,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-224,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-225,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-226,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-227,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-228,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-229,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-230,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-231,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-232,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-233,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-234,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-235,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-236,Regional Pricing,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-237,Vendor Quote Override,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-238,Snapshot Reproducibility,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-239,Service Catalog Writeback,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,An estimator-created service cannot be approved back into the catalog.
P26-REQ-240,AI Estimate Assist,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,The one AI agent analyses documents. Nothing assists with an estimate.
P26-REQ-241,Estimate Review & Approval,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-242,Estimate Export,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-243,Proposal Handoff,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-244,Job Cost Baseline,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-245,Audit & Traceability,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-246,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-247,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-248,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-249,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-250,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-251,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-252,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-253,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-254,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-255,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-256,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-257,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-258,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-259,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-260,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-261,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
P26-REQ-262,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-263,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-264,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-265,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-266,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-267,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-268,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-269,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-270,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-271,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-272,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-273,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-274,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-275,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-276,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-277,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-278,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-279,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-280,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-281,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-282,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-283,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-284,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-285,Regional Pricing,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-286,Vendor Quote Override,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-287,Snapshot Reproducibility,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-288,Service Catalog Writeback,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,An estimator-created service cannot be approved back into the catalog.
P26-REQ-289,AI Estimate Assist,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,The one AI agent analyses documents. Nothing assists with an estimate.
P26-REQ-290,Estimate Review & Approval,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-291,Estimate Export,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-292,Proposal Handoff,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-293,Job Cost Baseline,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-294,Audit & Traceability,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-295,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-296,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-297,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-298,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-299,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-300,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-301,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-302,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-303,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-304,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-305,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-306,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-307,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-308,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-309,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-310,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
P26-REQ-311,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-312,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-313,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-314,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-315,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-316,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-317,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-318,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-319,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-320,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-321,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-322,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-323,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-324,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-325,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-326,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-327,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-328,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-329,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-330,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-331,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-332,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-333,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
