entity_id,name,domain,definition,key,governance
P17-ENT-001,MachineControlProject,Machine Control Core,Canonical machine-control/field-automation entity for MachineControlProject.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-159,MachineTask,Trenching & Utilities,Canonical machine-control/field-automation entity for MachineTask.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-160,OperatorTask,Road & Highway Machine Control,Canonical machine-control/field-automation entity for OperatorTask.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-161,AIModelCheck,Site Models & Job Files,Canonical machine-control/field-automation entity for AIModelCheck.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-162,AIAnomaly,Field Data Sync,Canonical machine-control/field-automation entity for AIAnomaly.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-163,AIRecommendation,Machine Telemetry Integration,Canonical machine-control/field-automation entity for AIRecommendation.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-164,AIConfidence,Operator Interface,Canonical machine-control/field-automation entity for AIConfidence.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-165,EvidenceReference,Safety & Exclusion Controls,Canonical machine-control/field-automation entity for EvidenceReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-166,HumanReview,Design Change Management,Canonical machine-control/field-automation entity for HumanReview.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-167,OverrideRecord,As-Built & Production Capture,Canonical machine-control/field-automation entity for OverrideRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-168,MachineControlKPI,Quality Assurance,Canonical machine-control/field-automation entity for MachineControlKPI.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-169,MachineControlReport,Field Automation,Canonical machine-control/field-automation entity for MachineControlReport.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-170,MachineControlDigitalTwinState,Remote Support & Diagnostics,Canonical machine-control/field-automation entity for MachineControlDigitalTwinState.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-171,MachineControlDigitalTwinEvent,Device & Firmware Management,Canonical machine-control/field-automation entity for MachineControlDigitalTwinEvent.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-172,MachineControlDigitalTwinRelationship,Vendor/Platform Interoperability,Canonical machine-control/field-automation entity for MachineControlDigitalTwinRelationship.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-173,AuditEvent,AI Machine Intelligence,Canonical machine-control/field-automation entity for AuditEvent.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-174,ExternalIdentifier,Machine Control Digital Twin,Canonical machine-control/field-automation entity for ExternalIdentifier.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-175,SourceSystem,Machine Control Core,Canonical machine-control/field-automation entity for SourceSystem.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
