entity_id,name,domain,definition,key,governance
P18-ENT-001,Schedule,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for Schedule.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-154,CostCodeLink,Equipment Planning,Canonical scheduling/resource-planning entity for CostCodeLink.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-155,ProductionRateLink,Truck & Haul Planning,Canonical scheduling/resource-planning entity for ProductionRateLink.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-156,QuantityLink,Material Planning,Canonical scheduling/resource-planning entity for QuantityLink.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-157,ProjectLink,Subcontractor Planning,Canonical scheduling/resource-planning entity for ProjectLink.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-158,DocumentLink,Look-Ahead Planning,Canonical scheduling/resource-planning entity for DocumentLink.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-159,RFIReference,Last Planner & Commitments,Canonical scheduling/resource-planning entity for RFIReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-160,SubmittalReference,Pull Planning,Canonical scheduling/resource-planning entity for SubmittalReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-161,ProcurementReference,Milestones & Contract Dates,Canonical scheduling/resource-planning entity for ProcurementReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-162,WorkforceReference,Baseline Management,Canonical scheduling/resource-planning entity for WorkforceReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-163,FleetReference,Schedule Update Cycle,Canonical scheduling/resource-planning entity for FleetReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-164,MachineControlReference,Progress Measurement,Canonical scheduling/resource-planning entity for MachineControlReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-165,HSEQReference,Cost & Schedule Integration,Canonical scheduling/resource-planning entity for HSEQReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-166,WeatherReference,Constraint Management,Canonical scheduling/resource-planning entity for WeatherReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-167,AIConstraintFinding,Weather & Calendar Impacts,Canonical scheduling/resource-planning entity for AIConstraintFinding.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-168,AIDelayPrediction,Schedule Risk Analysis,Canonical scheduling/resource-planning entity for AIDelayPrediction.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-169,AIRecoveryRecommendation,Recovery & Acceleration,Canonical scheduling/resource-planning entity for AIRecoveryRecommendation.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-170,AIConfidence,Delay & Impact Analysis,Canonical scheduling/resource-planning entity for AIConfidence.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-171,EvidenceReference,Portfolio Capacity Planning,Canonical scheduling/resource-planning entity for EvidenceReference.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-172,HumanReview,What-If & Scenario Planning,Canonical scheduling/resource-planning entity for HumanReview.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-173,OverrideRecord,AI Schedule Intelligence,Canonical scheduling/resource-planning entity for OverrideRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-174,SchedulingDigitalTwinState,Scheduling Digital Twin,Canonical scheduling/resource-planning entity for SchedulingDigitalTwinState.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-175,SchedulingDigitalTwinEvent,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for SchedulingDigitalTwinEvent.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-176,SchedulingDigitalTwinRelationship,CPM Scheduling,Canonical scheduling/resource-planning entity for SchedulingDigitalTwinRelationship.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-177,AuditEvent,Work Breakdown Structure,Canonical scheduling/resource-planning entity for AuditEvent.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-178,ImportJob,Calendars & Shifts,Canonical scheduling/resource-planning entity for ImportJob.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-179,ExportJob,Resource Planning,Canonical scheduling/resource-planning entity for ExportJob.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-180,PrimaveraImport,Resource Loading,Canonical scheduling/resource-planning entity for PrimaveraImport.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-181,MicrosoftProjectImport,Resource Leveling,Canonical scheduling/resource-planning entity for MicrosoftProjectImport.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-182,CSVScheduleImport,Crew Planning,Canonical scheduling/resource-planning entity for CSVScheduleImport.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-183,ScheduleTemplate,Equipment Planning,Canonical scheduling/resource-planning entity for ScheduleTemplate.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-184,ScheduleProfile,Truck & Haul Planning,Canonical scheduling/resource-planning entity for ScheduleProfile.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-185,SchedulePermissionPolicy,Material Planning,Canonical scheduling/resource-planning entity for SchedulePermissionPolicy.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
