Requirement ID,Domain,Priority,Requirement,Acceptance Criteria,Entity,Workflow,Engine,API,Test Case,Status
P12-REQ-071,Fleet Digital Twin,Must,"The platform shall approve governed fleet digital twin records and decisions for live asset state combining physical, operational, maintenance, financial, location, and risk data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet digital twin transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-071,P12-WF-19,P12-ENG-07,P12-API-31,P12-TC-071,Review Ready
P12-REQ-072,Administration & Integration,Must,"The platform shall approve governed administration & integration records and decisions for tenant configuration, white-label settings, RBAC, APIs, events, data migration, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the administration & integration transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-072,P12-WF-20,P12-ENG-08,P12-API-32,P12-TC-072,Review Ready
P12-REQ-073,Fleet Registry,Must,"The platform shall schedule governed fleet registry records and decisions for fleet and equipment master records, ownership, classification, specifications, and lifecycle status, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet registry transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-073,P12-WF-21,P12-ENG-09,P12-API-33,P12-TC-073,Review Ready
P12-REQ-074,Asset Lifecycle,Must,"The platform shall schedule governed asset lifecycle records and decisions for acquisition, commissioning, transfer, capitalization, utilization, retirement, disposal, and replacement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the asset lifecycle transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-074,P12-WF-22,P12-ENG-10,P12-API-34,P12-TC-074,Review Ready
P12-REQ-075,Preventive Maintenance,Must,"The platform shall schedule governed preventive maintenance records and decisions for meter-, calendar-, condition-, and risk-based preventive maintenance programs, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the preventive maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-075,P12-WF-23,P12-ENG-11,P12-API-35,P12-TC-075,Review Ready
P12-REQ-076,Corrective Maintenance,Must,"The platform shall schedule governed corrective maintenance records and decisions for defect intake, diagnostics, work orders, labor, parts, repair execution, testing, and return to service, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the corrective maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-076,P12-WF-24,P12-ENG-12,P12-API-36,P12-TC-076,Review Ready
P12-REQ-077,Inspections,Must,"The platform shall schedule governed inspections records and decisions for pre-use, post-use, annual, regulatory, safety, and quality inspections with mobile evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the inspections transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-077,P12-WF-25,P12-ENG-13,P12-API-37,P12-TC-077,Review Ready
P12-REQ-078,Telematics & IoT,Must,"The platform shall schedule governed telematics & iot records and decisions for OEM and third-party telematics ingestion, normalization, health events, location, meter, and utilization data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the telematics & iot transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-078,P12-WF-26,P12-ENG-14,P12-API-38,P12-TC-078,Review Ready
P12-REQ-079,Fuel & Energy,Must,"The platform shall schedule governed fuel & energy records and decisions for fuel cards, bulk tanks, mobile fueling, electric charging, idle control, consumption, and reconciliation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fuel & energy transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-079,P12-WF-01,P12-ENG-15,P12-API-39,P12-TC-079,Review Ready
P12-REQ-080,Parts & Components,Must,"The platform shall schedule governed parts & components records and decisions for parts catalogs, serialized components, warranties, cores, inventory integration, and component history, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the parts & components transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-080,P12-WF-02,P12-ENG-16,P12-API-40,P12-TC-080,Review Ready
P12-REQ-081,Work Orders,Must,"The platform shall schedule governed work orders records and decisions for planning, approval, scheduling, assignment, execution, cost capture, closeout, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the work orders transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-081,P12-WF-03,P12-ENG-17,P12-API-01,P12-TC-081,Review Ready
P12-REQ-082,Shop Operations,Must,"The platform shall schedule governed shop operations records and decisions for shop bays, technician capacity, backlog, dispatch, tooling, calibration, and productivity, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the shop operations transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-082,P12-WF-04,P12-ENG-18,P12-API-02,P12-TC-082,Review Ready
P12-REQ-083,Field Service,Must,"The platform shall schedule governed field service records and decisions for service trucks, mobile technicians, emergency response, remote diagnostics, and site repair, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the field service transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-083,P12-WF-05,P12-ENG-19,P12-API-03,P12-TC-083,Review Ready
P12-REQ-084,Rental & Leased Assets,Must,"The platform shall schedule governed rental & leased assets records and decisions for rental intake, rate terms, utilization, off-rent, damage, extensions, and invoice validation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the rental & leased assets transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-084,P12-WF-06,P12-ENG-20,P12-API-04,P12-TC-084,Review Ready
P12-REQ-085,Compliance,Must,"The platform shall schedule governed compliance records and decisions for registrations, permits, DOT records, emissions, inspections, certifications, and out-of-service controls, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the compliance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-085,P12-WF-07,P12-ENG-21,P12-API-05,P12-TC-085,Review Ready
P12-REQ-086,Safety & Risk,Must,"The platform shall schedule governed safety & risk records and decisions for operator authorization, defect severity, lockout/tagout, incident linkage, and critical control verification, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the safety & risk transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-086,P12-WF-08,P12-ENG-22,P12-API-06,P12-TC-086,Review Ready
P12-REQ-087,Utilization & Dispatch,Must,"The platform shall schedule governed utilization & dispatch records and decisions for availability, reservation, assignment, dispatch, location, shift use, and underutilization detection, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the utilization & dispatch transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-087,P12-WF-09,P12-ENG-23,P12-API-07,P12-TC-087,Review Ready
P12-REQ-088,Equipment Costing,Must,"The platform shall schedule governed equipment costing records and decisions for ownership cost, operating cost, internal rates, fuel, maintenance, depreciation, and project chargeback, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the equipment costing transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-088,P12-WF-10,P12-ENG-24,P12-API-08,P12-TC-088,Review Ready
P12-REQ-089,Warranty & Claims,Must,"The platform shall schedule governed warranty & claims records and decisions for coverage rules, claim preparation, evidence, recovery, denial tracking, and supplier reimbursement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the warranty & claims transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-089,P12-WF-11,P12-ENG-25,P12-API-09,P12-TC-089,Review Ready
P12-REQ-090,Tires & Undercarriage,Must,"The platform shall schedule governed tires & undercarriage records and decisions for position tracking, measurements, rotations, replacements, wear forecasts, and cost-per-hour analysis, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the tires & undercarriage transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-090,P12-WF-12,P12-ENG-26,P12-API-10,P12-TC-090,Review Ready
P12-REQ-091,Attachments & Tools,Must,"The platform shall schedule governed attachments & tools records and decisions for attachment compatibility, custody, inspections, calibration, utilization, and loss prevention, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the attachments & tools transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-091,P12-WF-13,P12-ENG-27,P12-API-11,P12-TC-091,Review Ready
P12-REQ-092,Documents & Media,Must,"The platform shall schedule governed documents & media records and decisions for manuals, photos, invoices, inspection forms, service records, and immutable evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the documents & media transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-092,P12-WF-14,P12-ENG-28,P12-API-12,P12-TC-092,Review Ready
P12-REQ-093,Mobile & Offline,Must,"The platform shall schedule governed mobile & offline records and decisions for offline inspections, work orders, parts usage, signatures, photos, sync, and conflict resolution, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the mobile & offline transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-093,P12-WF-15,P12-ENG-29,P12-API-13,P12-TC-093,Review Ready
P12-REQ-094,Fleet Intelligence,Must,"The platform shall schedule governed fleet intelligence records and decisions for health scoring, failure prediction, replacement planning, cost anomaly detection, and recommendations, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet intelligence transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-094,P12-WF-16,P12-ENG-30,P12-API-14,P12-TC-094,Review Ready
P12-REQ-095,Fleet Digital Twin,Must,"The platform shall schedule governed fleet digital twin records and decisions for live asset state combining physical, operational, maintenance, financial, location, and risk data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet digital twin transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-095,P12-WF-17,P12-ENG-31,P12-API-15,P12-TC-095,Review Ready
P12-REQ-096,Administration & Integration,Must,"The platform shall schedule governed administration & integration records and decisions for tenant configuration, white-label settings, RBAC, APIs, events, data migration, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the administration & integration transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-096,P12-WF-18,P12-ENG-32,P12-API-16,P12-TC-096,Review Ready
P12-REQ-097,Fleet Registry,Must,"The platform shall validate governed fleet registry records and decisions for fleet and equipment master records, ownership, classification, specifications, and lifecycle status, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet registry transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-097,P12-WF-19,P12-ENG-01,P12-API-17,P12-TC-097,Review Ready
P12-REQ-098,Asset Lifecycle,Must,"The platform shall validate governed asset lifecycle records and decisions for acquisition, commissioning, transfer, capitalization, utilization, retirement, disposal, and replacement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the asset lifecycle transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-098,P12-WF-20,P12-ENG-02,P12-API-18,P12-TC-098,Review Ready
P12-REQ-099,Preventive Maintenance,Must,"The platform shall validate governed preventive maintenance records and decisions for meter-, calendar-, condition-, and risk-based preventive maintenance programs, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the preventive maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-099,P12-WF-21,P12-ENG-03,P12-API-19,P12-TC-099,Review Ready
P12-REQ-100,Corrective Maintenance,Must,"The platform shall validate governed corrective maintenance records and decisions for defect intake, diagnostics, work orders, labor, parts, repair execution, testing, and return to service, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the corrective maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-100,P12-WF-22,P12-ENG-04,P12-API-20,P12-TC-100,Review Ready
P12-REQ-101,Inspections,Must,"The platform shall validate governed inspections records and decisions for pre-use, post-use, annual, regulatory, safety, and quality inspections with mobile evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the inspections transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-101,P12-WF-23,P12-ENG-05,P12-API-21,P12-TC-101,Review Ready
P12-REQ-102,Telematics & IoT,Must,"The platform shall validate governed telematics & iot records and decisions for OEM and third-party telematics ingestion, normalization, health events, location, meter, and utilization data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the telematics & iot transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-102,P12-WF-24,P12-ENG-06,P12-API-22,P12-TC-102,Review Ready
P12-REQ-103,Fuel & Energy,Must,"The platform shall validate governed fuel & energy records and decisions for fuel cards, bulk tanks, mobile fueling, electric charging, idle control, consumption, and reconciliation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fuel & energy transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-103,P12-WF-25,P12-ENG-07,P12-API-23,P12-TC-103,Review Ready
P12-REQ-104,Parts & Components,Must,"The platform shall validate governed parts & components records and decisions for parts catalogs, serialized components, warranties, cores, inventory integration, and component history, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the parts & components transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-104,P12-WF-26,P12-ENG-08,P12-API-24,P12-TC-104,Review Ready
P12-REQ-105,Work Orders,Must,"The platform shall validate governed work orders records and decisions for planning, approval, scheduling, assignment, execution, cost capture, closeout, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the work orders transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-105,P12-WF-01,P12-ENG-09,P12-API-25,P12-TC-105,Review Ready
P12-REQ-106,Shop Operations,Must,"The platform shall validate governed shop operations records and decisions for shop bays, technician capacity, backlog, dispatch, tooling, calibration, and productivity, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the shop operations transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-106,P12-WF-02,P12-ENG-10,P12-API-26,P12-TC-106,Review Ready
P12-REQ-107,Field Service,Must,"The platform shall validate governed field service records and decisions for service trucks, mobile technicians, emergency response, remote diagnostics, and site repair, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the field service transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-107,P12-WF-03,P12-ENG-11,P12-API-27,P12-TC-107,Review Ready
P12-REQ-108,Rental & Leased Assets,Must,"The platform shall validate governed rental & leased assets records and decisions for rental intake, rate terms, utilization, off-rent, damage, extensions, and invoice validation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the rental & leased assets transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-108,P12-WF-04,P12-ENG-12,P12-API-28,P12-TC-108,Review Ready
P12-REQ-109,Compliance,Must,"The platform shall validate governed compliance records and decisions for registrations, permits, DOT records, emissions, inspections, certifications, and out-of-service controls, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the compliance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-109,P12-WF-05,P12-ENG-13,P12-API-29,P12-TC-109,Review Ready
P12-REQ-110,Safety & Risk,Must,"The platform shall validate governed safety & risk records and decisions for operator authorization, defect severity, lockout/tagout, incident linkage, and critical control verification, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the safety & risk transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-110,P12-WF-06,P12-ENG-14,P12-API-30,P12-TC-110,Review Ready
P12-REQ-111,Utilization & Dispatch,Must,"The platform shall validate governed utilization & dispatch records and decisions for availability, reservation, assignment, dispatch, location, shift use, and underutilization detection, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the utilization & dispatch transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-111,P12-WF-07,P12-ENG-15,P12-API-31,P12-TC-111,Review Ready
P12-REQ-112,Equipment Costing,Must,"The platform shall validate governed equipment costing records and decisions for ownership cost, operating cost, internal rates, fuel, maintenance, depreciation, and project chargeback, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the equipment costing transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-112,P12-WF-08,P12-ENG-16,P12-API-32,P12-TC-112,Review Ready
P12-REQ-113,Warranty & Claims,Must,"The platform shall validate governed warranty & claims records and decisions for coverage rules, claim preparation, evidence, recovery, denial tracking, and supplier reimbursement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the warranty & claims transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-113,P12-WF-09,P12-ENG-17,P12-API-33,P12-TC-113,Review Ready
P12-REQ-114,Tires & Undercarriage,Must,"The platform shall validate governed tires & undercarriage records and decisions for position tracking, measurements, rotations, replacements, wear forecasts, and cost-per-hour analysis, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the tires & undercarriage transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-114,P12-WF-10,P12-ENG-18,P12-API-34,P12-TC-114,Review Ready
P12-REQ-115,Attachments & Tools,Must,"The platform shall validate governed attachments & tools records and decisions for attachment compatibility, custody, inspections, calibration, utilization, and loss prevention, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the attachments & tools transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-115,P12-WF-11,P12-ENG-19,P12-API-35,P12-TC-115,Review Ready
P12-REQ-116,Documents & Media,Must,"The platform shall validate governed documents & media records and decisions for manuals, photos, invoices, inspection forms, service records, and immutable evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the documents & media transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-116,P12-WF-12,P12-ENG-20,P12-API-36,P12-TC-116,Review Ready
P12-REQ-117,Mobile & Offline,Must,"The platform shall validate governed mobile & offline records and decisions for offline inspections, work orders, parts usage, signatures, photos, sync, and conflict resolution, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the mobile & offline transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-117,P12-WF-13,P12-ENG-21,P12-API-37,P12-TC-117,Review Ready
P12-REQ-118,Fleet Intelligence,Must,"The platform shall validate governed fleet intelligence records and decisions for health scoring, failure prediction, replacement planning, cost anomaly detection, and recommendations, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet intelligence transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-118,P12-WF-14,P12-ENG-22,P12-API-38,P12-TC-118,Review Ready
P12-REQ-119,Fleet Digital Twin,Must,"The platform shall validate governed fleet digital twin records and decisions for live asset state combining physical, operational, maintenance, financial, location, and risk data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet digital twin transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-119,P12-WF-15,P12-ENG-23,P12-API-39,P12-TC-119,Review Ready
P12-REQ-120,Administration & Integration,Must,"The platform shall validate governed administration & integration records and decisions for tenant configuration, white-label settings, RBAC, APIs, events, data migration, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the administration & integration transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-120,P12-WF-16,P12-ENG-24,P12-API-40,P12-TC-120,Review Ready
P12-REQ-121,Fleet Registry,Must,"The platform shall calculate governed fleet registry records and decisions for fleet and equipment master records, ownership, classification, specifications, and lifecycle status, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet registry transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-121,P12-WF-17,P12-ENG-25,P12-API-01,P12-TC-121,Review Ready
P12-REQ-122,Asset Lifecycle,Must,"The platform shall calculate governed asset lifecycle records and decisions for acquisition, commissioning, transfer, capitalization, utilization, retirement, disposal, and replacement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the asset lifecycle transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-122,P12-WF-18,P12-ENG-26,P12-API-02,P12-TC-122,Review Ready
P12-REQ-123,Preventive Maintenance,Must,"The platform shall calculate governed preventive maintenance records and decisions for meter-, calendar-, condition-, and risk-based preventive maintenance programs, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the preventive maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-123,P12-WF-19,P12-ENG-27,P12-API-03,P12-TC-123,Review Ready
P12-REQ-124,Corrective Maintenance,Must,"The platform shall calculate governed corrective maintenance records and decisions for defect intake, diagnostics, work orders, labor, parts, repair execution, testing, and return to service, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the corrective maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-124,P12-WF-20,P12-ENG-28,P12-API-04,P12-TC-124,Review Ready
P12-REQ-125,Inspections,Must,"The platform shall calculate governed inspections records and decisions for pre-use, post-use, annual, regulatory, safety, and quality inspections with mobile evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the inspections transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-125,P12-WF-21,P12-ENG-29,P12-API-05,P12-TC-125,Review Ready
P12-REQ-126,Telematics & IoT,Must,"The platform shall calculate governed telematics & iot records and decisions for OEM and third-party telematics ingestion, normalization, health events, location, meter, and utilization data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the telematics & iot transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-001,P12-WF-22,P12-ENG-30,P12-API-06,P12-TC-126,Review Ready
P12-REQ-127,Fuel & Energy,Must,"The platform shall calculate governed fuel & energy records and decisions for fuel cards, bulk tanks, mobile fueling, electric charging, idle control, consumption, and reconciliation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fuel & energy transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-002,P12-WF-23,P12-ENG-31,P12-API-07,P12-TC-127,Review Ready
P12-REQ-128,Parts & Components,Must,"The platform shall calculate governed parts & components records and decisions for parts catalogs, serialized components, warranties, cores, inventory integration, and component history, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the parts & components transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-003,P12-WF-24,P12-ENG-32,P12-API-08,P12-TC-128,Review Ready
P12-REQ-129,Work Orders,Must,"The platform shall calculate governed work orders records and decisions for planning, approval, scheduling, assignment, execution, cost capture, closeout, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the work orders transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-004,P12-WF-25,P12-ENG-01,P12-API-09,P12-TC-129,Review Ready
