requirement_id,phase,module,status,verification,mapping_method,declared_by,rules,artifacts,tests,requirement
P14-REQ-119,P14,Subcontractor HSEQ,traced_tested,not_verified,derived,,TR-029,TBL-vendors TBL-network_vendors TBL-network_ratings UI-network,TST-db-network,"GrounUp shall provide governed subcontractor hseq capability 119 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-120,P14,Equipment & Fleet Safety,traced_tested,not_verified,derived,,TR-023 TR-024,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-fleet TST-db-safety TST-db-semantic,"GrounUp shall provide governed equipment & fleet safety capability 120 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-121,P14,Public & Traffic Safety,traced_tested,not_verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed public & traffic safety capability 121 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-122,P14,Corrective & Preventive Action,untraced,not_verified,,,,,,"GrounUp shall provide governed corrective & preventive action capability 122 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-123,P14,Audit & Assurance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"GrounUp shall provide governed audit & assurance capability 123 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-124,P14,HSEQ Analytics,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"GrounUp shall provide governed hseq analytics capability 124 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-125,P14,AI HSEQ Intelligence,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"GrounUp shall provide governed ai hseq intelligence capability 125 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-126,P14,HSEQ Digital Twin,untraced,not_verified,,,,,,"GrounUp shall provide governed hseq digital twin capability 126 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-127,P14,Safety Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed safety management capability 127 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-128,P14,Incident & Near-Miss Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed incident & near-miss management capability 128 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-129,P14,JHA/JSA & Pre-Task Planning,traced_tested,not_verified,derived,,TR-012 TR-024 TR-037,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-db-operations TST-db-safety TST-db-semantic TST-fn-subscription-state,"GrounUp shall provide governed jha/jsa & pre-task planning capability 129 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-130,P14,Permits to Work,untraced,not_verified,,,,,,"GrounUp shall provide governed permits to work capability 130 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-131,P14,Training & Competency,untraced,not_verified,,,,,,"GrounUp shall provide governed training & competency capability 131 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-132,P14,Environmental Management,untraced,not_verified,,,,,,"GrounUp shall provide governed environmental management capability 132 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-133,P14,Quality Management,traced_tested,verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,"GrounUp shall provide governed quality management capability 133 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-134,P14,Compliance & Regulatory,untraced,not_verified,,,,,,"GrounUp shall provide governed compliance & regulatory capability 134 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-135,P14,Industrial Hygiene,traced_tested,not_verified,derived,,TR-037,TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-fn-subscription-state,"GrounUp shall provide governed industrial hygiene capability 135 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-136,P14,Emergency Management,untraced,not_verified,,,,,,"GrounUp shall provide governed emergency management capability 136 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-137,P14,Subcontractor HSEQ,traced_tested,not_verified,derived,,TR-029,TBL-vendors TBL-network_vendors TBL-network_ratings UI-network,TST-db-network,"GrounUp shall provide governed subcontractor hseq capability 137 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-138,P14,Equipment & Fleet Safety,traced_tested,not_verified,derived,,TR-023 TR-024,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-fleet TST-db-safety TST-db-semantic,"GrounUp shall provide governed equipment & fleet safety capability 138 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-139,P14,Public & Traffic Safety,traced_tested,not_verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed public & traffic safety capability 139 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-140,P14,Corrective & Preventive Action,untraced,not_verified,,,,,,"GrounUp shall provide governed corrective & preventive action capability 140 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-141,P14,Audit & Assurance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"GrounUp shall provide governed audit & assurance capability 141 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-142,P14,HSEQ Analytics,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"GrounUp shall provide governed hseq analytics capability 142 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-143,P14,AI HSEQ Intelligence,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"GrounUp shall provide governed ai hseq intelligence capability 143 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-144,P14,HSEQ Digital Twin,untraced,not_verified,,,,,,"GrounUp shall provide governed hseq digital twin capability 144 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-145,P14,Safety Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed safety management capability 145 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-146,P14,Incident & Near-Miss Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed incident & near-miss management capability 146 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-147,P14,JHA/JSA & Pre-Task Planning,traced_tested,not_verified,derived,,TR-012 TR-024 TR-037,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-db-operations TST-db-safety TST-db-semantic TST-fn-subscription-state,"GrounUp shall provide governed jha/jsa & pre-task planning capability 147 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-148,P14,Permits to Work,untraced,not_verified,,,,,,"GrounUp shall provide governed permits to work capability 148 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-149,P14,Training & Competency,untraced,not_verified,,,,,,"GrounUp shall provide governed training & competency capability 149 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-150,P14,Environmental Management,untraced,not_verified,,,,,,"GrounUp shall provide governed environmental management capability 150 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-151,P14,Quality Management,traced_tested,verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,"GrounUp shall provide governed quality management capability 151 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-152,P14,Compliance & Regulatory,untraced,not_verified,,,,,,"GrounUp shall provide governed compliance & regulatory capability 152 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-153,P14,Industrial Hygiene,traced_tested,not_verified,derived,,TR-037,TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-fn-subscription-state,"GrounUp shall provide governed industrial hygiene capability 153 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-154,P14,Emergency Management,untraced,not_verified,,,,,,"GrounUp shall provide governed emergency management capability 154 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-155,P14,Subcontractor HSEQ,traced_tested,not_verified,derived,,TR-029,TBL-vendors TBL-network_vendors TBL-network_ratings UI-network,TST-db-network,"GrounUp shall provide governed subcontractor hseq capability 155 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-156,P14,Equipment & Fleet Safety,traced_tested,not_verified,derived,,TR-023 TR-024,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-fleet TST-db-safety TST-db-semantic,"GrounUp shall provide governed equipment & fleet safety capability 156 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-157,P14,Public & Traffic Safety,traced_tested,not_verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed public & traffic safety capability 157 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-158,P14,Corrective & Preventive Action,untraced,not_verified,,,,,,"GrounUp shall provide governed corrective & preventive action capability 158 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-159,P14,Audit & Assurance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"GrounUp shall provide governed audit & assurance capability 159 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-160,P14,HSEQ Analytics,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"GrounUp shall provide governed hseq analytics capability 160 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-161,P14,AI HSEQ Intelligence,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"GrounUp shall provide governed ai hseq intelligence capability 161 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-162,P14,HSEQ Digital Twin,untraced,not_verified,,,,,,"GrounUp shall provide governed hseq digital twin capability 162 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-163,P14,Safety Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed safety management capability 163 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-164,P14,Incident & Near-Miss Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed incident & near-miss management capability 164 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-165,P14,JHA/JSA & Pre-Task Planning,traced_tested,not_verified,derived,,TR-012 TR-024 TR-037,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-db-operations TST-db-safety TST-db-semantic TST-fn-subscription-state,"GrounUp shall provide governed jha/jsa & pre-task planning capability 165 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-166,P14,Permits to Work,untraced,not_verified,,,,,,"GrounUp shall provide governed permits to work capability 166 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-167,P14,Training & Competency,untraced,not_verified,,,,,,"GrounUp shall provide governed training & competency capability 167 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-168,P14,Environmental Management,untraced,not_verified,,,,,,"GrounUp shall provide governed environmental management capability 168 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-169,P14,Quality Management,traced_tested,verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,"GrounUp shall provide governed quality management capability 169 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-170,P14,Compliance & Regulatory,untraced,not_verified,,,,,,"GrounUp shall provide governed compliance & regulatory capability 170 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-171,P14,Industrial Hygiene,traced_tested,not_verified,derived,,TR-037,TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-fn-subscription-state,"GrounUp shall provide governed industrial hygiene capability 171 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-172,P14,Emergency Management,untraced,not_verified,,,,,,"GrounUp shall provide governed emergency management capability 172 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-173,P14,Subcontractor HSEQ,traced_tested,not_verified,derived,,TR-029,TBL-vendors TBL-network_vendors TBL-network_ratings UI-network,TST-db-network,"GrounUp shall provide governed subcontractor hseq capability 173 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-174,P14,Equipment & Fleet Safety,traced_tested,not_verified,derived,,TR-023 TR-024,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-fleet TST-db-safety TST-db-semantic,"GrounUp shall provide governed equipment & fleet safety capability 174 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-175,P14,Public & Traffic Safety,traced_tested,not_verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed public & traffic safety capability 175 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-176,P14,Corrective & Preventive Action,untraced,not_verified,,,,,,"GrounUp shall provide governed corrective & preventive action capability 176 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-177,P14,Audit & Assurance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"GrounUp shall provide governed audit & assurance capability 177 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-178,P14,HSEQ Analytics,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"GrounUp shall provide governed hseq analytics capability 178 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-179,P14,AI HSEQ Intelligence,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"GrounUp shall provide governed ai hseq intelligence capability 179 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-180,P14,HSEQ Digital Twin,untraced,not_verified,,,,,,"GrounUp shall provide governed hseq digital twin capability 180 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-181,P14,Safety Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed safety management capability 181 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-182,P14,Incident & Near-Miss Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed incident & near-miss management capability 182 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-183,P14,JHA/JSA & Pre-Task Planning,traced_tested,not_verified,derived,,TR-012 TR-024 TR-037,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-db-operations TST-db-safety TST-db-semantic TST-fn-subscription-state,"GrounUp shall provide governed jha/jsa & pre-task planning capability 183 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-184,P14,Permits to Work,untraced,not_verified,,,,,,"GrounUp shall provide governed permits to work capability 184 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-185,P14,Training & Competency,untraced,not_verified,,,,,,"GrounUp shall provide governed training & competency capability 185 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-186,P14,Environmental Management,untraced,not_verified,,,,,,"GrounUp shall provide governed environmental management capability 186 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-187,P14,Quality Management,traced_tested,verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,"GrounUp shall provide governed quality management capability 187 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-188,P14,Compliance & Regulatory,untraced,not_verified,,,,,,"GrounUp shall provide governed compliance & regulatory capability 188 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-189,P14,Industrial Hygiene,traced_tested,not_verified,derived,,TR-037,TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-fn-subscription-state,"GrounUp shall provide governed industrial hygiene capability 189 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-190,P14,Emergency Management,untraced,not_verified,,,,,,"GrounUp shall provide governed emergency management capability 190 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-191,P14,Subcontractor HSEQ,traced_tested,not_verified,derived,,TR-029,TBL-vendors TBL-network_vendors TBL-network_ratings UI-network,TST-db-network,"GrounUp shall provide governed subcontractor hseq capability 191 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-192,P14,Equipment & Fleet Safety,traced_tested,not_verified,derived,,TR-023 TR-024,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-fleet TST-db-safety TST-db-semantic,"GrounUp shall provide governed equipment & fleet safety capability 192 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-193,P14,Public & Traffic Safety,traced_tested,not_verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed public & traffic safety capability 193 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-194,P14,Corrective & Preventive Action,untraced,not_verified,,,,,,"GrounUp shall provide governed corrective & preventive action capability 194 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-195,P14,Audit & Assurance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"GrounUp shall provide governed audit & assurance capability 195 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-196,P14,HSEQ Analytics,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"GrounUp shall provide governed hseq analytics capability 196 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-197,P14,AI HSEQ Intelligence,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"GrounUp shall provide governed ai hseq intelligence capability 197 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-198,P14,HSEQ Digital Twin,untraced,not_verified,,,,,,"GrounUp shall provide governed hseq digital twin capability 198 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-199,P14,Safety Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed safety management capability 199 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-200,P14,Incident & Near-Miss Management,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed incident & near-miss management capability 200 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-201,P14,JHA/JSA & Pre-Task Planning,traced_tested,not_verified,derived,,TR-012 TR-024 TR-037,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-db-operations TST-db-safety TST-db-semantic TST-fn-subscription-state,"GrounUp shall provide governed jha/jsa & pre-task planning capability 201 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-202,P14,Permits to Work,untraced,not_verified,,,,,,"GrounUp shall provide governed permits to work capability 202 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-203,P14,Training & Competency,untraced,not_verified,,,,,,"GrounUp shall provide governed training & competency capability 203 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-204,P14,Environmental Management,untraced,not_verified,,,,,,"GrounUp shall provide governed environmental management capability 204 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-205,P14,Quality Management,traced_tested,verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,"GrounUp shall provide governed quality management capability 205 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-206,P14,Compliance & Regulatory,untraced,not_verified,,,,,,"GrounUp shall provide governed compliance & regulatory capability 206 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-207,P14,Industrial Hygiene,traced_tested,not_verified,derived,,TR-037,TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-fn-subscription-state,"GrounUp shall provide governed industrial hygiene capability 207 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-208,P14,Emergency Management,untraced,not_verified,,,,,,"GrounUp shall provide governed emergency management capability 208 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-209,P14,Subcontractor HSEQ,traced_tested,not_verified,derived,,TR-029,TBL-vendors TBL-network_vendors TBL-network_ratings UI-network,TST-db-network,"GrounUp shall provide governed subcontractor hseq capability 209 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-210,P14,Equipment & Fleet Safety,traced_tested,not_verified,derived,,TR-023 TR-024,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-fleet TST-db-safety TST-db-semantic,"GrounUp shall provide governed equipment & fleet safety capability 210 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-211,P14,Public & Traffic Safety,traced_tested,not_verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"GrounUp shall provide governed public & traffic safety capability 211 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-212,P14,Corrective & Preventive Action,untraced,not_verified,,,,,,"GrounUp shall provide governed corrective & preventive action capability 212 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
P14-REQ-213,P14,Audit & Assurance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"GrounUp shall provide governed audit & assurance capability 213 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria."
