entity_id,name,domain,definition,key,governance
P16-ENT-001,Map,GIS Core,Canonical geospatial/survey/reality-capture entity for Map.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-154,FieldCollectionForm,Existing Conditions,Canonical geospatial/survey/reality-capture entity for FieldCollectionForm.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-155,FieldObservation,Drone Operations,Canonical geospatial/survey/reality-capture entity for FieldObservation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-156,GeotaggedPhoto,Photogrammetry,Canonical geospatial/survey/reality-capture entity for GeotaggedPhoto.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-157,GeotaggedVideo,LiDAR Reality Capture,Canonical geospatial/survey/reality-capture entity for GeotaggedVideo.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-158,SpatialInspection,Point Cloud Management,Canonical geospatial/survey/reality-capture entity for SpatialInspection.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-159,SyncSession,Orthomosaic Management,Canonical geospatial/survey/reality-capture entity for SyncSession.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-160,AccuracySpecification,Surface & Terrain Models,Canonical geospatial/survey/reality-capture entity for AccuracySpecification.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-161,AccuracyTest,Volumes & Earthwork,Canonical geospatial/survey/reality-capture entity for AccuracyTest.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-162,RMSERecord,Progress & Change Detection,Canonical geospatial/survey/reality-capture entity for RMSERecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-163,ResidualRecord,Corridor & Linear Infrastructure,Canonical geospatial/survey/reality-capture entity for ResidualRecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-164,DensityCheck,Utility Mapping,Canonical geospatial/survey/reality-capture entity for DensityCheck.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-165,CompletenessCheck,GIS Field Collection,Canonical geospatial/survey/reality-capture entity for CompletenessCheck.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
